Formula,Name,Page number,bare_formula,phase_tag,reduced_formula,material_id,match_method,spacegroup,cod_id,cod_sg,cif_file
AgP3,SILVER TRIPHOSPHIDE,13,AgP3,,AgP3,,no_mp_match,,,,
AlB12,ALUMINIUM DODECABORIDE,21,AlB12,,AlB12,,no_mp_match,,,,
Al18B4O33,18-ALUMINIUM 4-BORON 33-OXIDE,52,Al18B4O33,,Al18B4O33,,no_mp_match,,1545125,C m c 21,Al18B4O33_COD1545125.cif
Al6Si2O13,MULLITE,61,Al6Si2O13,,Al6Si2O13,,no_mp_match,,9001567,P b a m,Al6Si2O13_COD9001567.cif
Am,AMERICIUM,74,Am,,Am,,no_mp_match,,9008461,F m -3 m,Am_COD9008461.cif
Au3AsO4,TRIGOLD ARSENATE,94,Au3AsO4,,AsAu3O4,,no_mp_match,,,,
Au(OH)3,GOLD TRIHYDROXIDE (PRECIPITATED),99,Au(OH)3,,H3AuO3,,no_mp_match,,,,
Ba3Al2O6,TRIBARIUM DIALUMINIUM HEXAOXIDE,150,Ba3Al2O6,,Ba3Al2O6,,no_mp_match,,,,
Be3(AsO4)2,BERYLLIUM ARSENATE,165,Be3(AsO4)2,,Be3(AsO4)2,,no_mp_match,,,,
Be3B206,TRIBERYLLIUM DIBORATE,182,Be3B2O6,,Be3(BO3)2,,no_mp_match,,,,
BeSO4*2H2O,BERYLLIUM SULFATE DIHYDRATE,188,BeSO4*2H2O,,BeH4SO6,,no_mp_match,,,,
BeWO4,BERYLLIUM TUNGSTATE,189,BeWO4,,BeWO4,,no_mp_match,,,,
Ca(NO3)2*2H2O,CALCIUM NITRATE DIHYDRATE,438,Ca(NO3)2*2H2O,,CaH4(NO4)2,,no_mp_match,,,,
Ca(NO3)2*3H2O,CALCIUM NITRATE TRIHYDRATE,439,Ca(NO3)2*3H2O,,CaH6N2O9,,no_mp_match,,,,
Ca8Al2O6*6H2O,3-CALCIUM 2-ALUMIN. 6-OXIDE 6-HYDRATE,446,Ca8Al2O6*6H2O,,Ca4Al(HO)6,,no_mp_match,,,,
Ca8Al2SiO12,GROSSULAR,448,Ca8Al2SiO12,,Ca8Al2SiO12,,no_mp_match,,,,
Ca(OCl)Cl,CALCIUM CHLORIDE HYPOCHLORITE,452,Ca(OCl)Cl,,CaCl2O,,no_mp_match,,,,
CaMgO2,CALCIUM MAGNESIUM DIOXIDE,456,CaMgO2,,CaMgO2,,no_mp_match,,,,
CaSi2O5*2H2O,CALCIUM 2-SILICATE 2-HYDRATE,465,CaSi2O5*2H2O,,CaSi2H4O7,,no_mp_match,,9015622,P -1,CaSi2O5_hyd_2H2O_COD9015622.cif
Ca2Si3O8*2.5H2O,2-CALCIUM 3-SILICATE 5/2-HYDRATE,466,Ca2Si3O8*2.5H2O,,Ca2Si3H5O10.5,,no_mp_match,,9005498,B 1 1 m,Ca2Si3O8_hyd_2.5H2O_COD9005498.cif
Ca2SiO4*7/6H2O,CALCIUM ORTHOSILICATE 7/6-HYDRATE,466,Ca2SiO4*7/6H2O,,Ca2Si1H2.33333333O5.16666667,,no_mp_match,,,,
Ca4Si3O10*1.5H2O,4-CALCIUM 3-SILICATE 3/2-HYDRATE,467,Ca4Si3O10*1.5H2O,,Ca4Si3H3O11.5,,no_mp_match,,,,
Ca5Si6O17*3H2O,5-CALCIUM 6-SILICATE 3-HYDRATE,468,Ca5Si6O17*3H2O,,Ca5Si6(H3O10)2,,no_mp_match,,,,
Ca5Si6O17*5.5H2O,5-CALCIUM 6-SILICATE 5.5-HYDRATE,468,Ca5Si6O17*5.5H2O,,Ca5Si6H11O22.5,,no_mp_match,,9005498,B 1 1 m,Ca5Si6O17_hyd_5.5H2O_COD9005498.cif
Ca5Si6O17*10.5w,5-CALCIUM 6-SILICATE 10.5-HYDRATE,469,Ca5Si6O17*10.5H2O,,Ca5Si6H21O27.5,,no_mp_match,,,,
Ca8Ti2O7,3-CALCIUM 2-TITANIUM 7-OXIDE,471,Ca8Ti2O7,,Ca8Ti2O7,,no_mp_match,,,,
CaSO3,CALCIUM SULFITE,482,CaSO3,,CaSO3,,no_mp_match,,,,
CaSO3*0.5H2O,CALCIUM SULFITE HEMIHYDRATE,484,CaSO3*0.5H2O,,Ca1H1S1O3.5,,no_mp_match,,9009798,P b n a,CaSO3_hyd_0.5H2O_COD9009798.cif
CaSO4*0.5H2O,CALCIUM SULFATE HEMIHYDRATE,484,CaSO4*0.5H2O,,Ca1H1S1O4.5,,no_mp_match,,1010918,P 32 2 1 S,CaSO4_hyd_0.5H2O_COD1010918.cif
Cd11U,11-CADMIUM URANIUM,506,Cd11U,,UCd11,,no_mp_match,,,,
Ce2(SO4)3,CERIUM SULFATE,523,Ce2(SO4)3,,Ce2(SO4)3,,no_mp_match,,,,
CoS0.89,COBALT 0.89-SULFIDE,550,CoS0.89,,Co1S0.89,,no_mp_match,,1011206,F m -3 m,CoS0.89_COD1011206.cif
CoSb0.98,COBALT 0.98-ANTIMONY,552,CoSb0.98,,Co1Sb0.98,,no_mp_match,,1541039,P 63/m m c,CoSb0.98_COD1541039.cif
Cr3(AsO4)2,TRICHROMIUM ARSENATE,557,Cr3(AsO4)2,,Cr3(AsO4)2,,no_mp_match,,,,
CrS1.17,CHROMIUM 1.17-SULFIDE,579,CrS1.17,,Cr1S1.17,,no_mp_match,,9007439,P -3 1 c,CrS1.17_COD9007439.cif
Cu3AsO4,TRICOPPER ARSENATE,604,Cu3AsO4,,Cu3AsO4,,no_mp_match,,,,
DyCI3*6H2O,DYSPROSIUM CHLORIDE HEXAHYDRATE,647,DyCl3*6H2O,,DyH12(ClO2)3,,no_mp_match,,,,
ErCl3*6H2O,ERBIUM CHLORIDE HEXAHYDRATE,656,ErCl3*6H2O,,ErH12(ClO2)3,,no_mp_match,,,,
EuCl3*6H2O,EUROPIUM CHLORIDE HEXAHYDRATE,665,EuCl3*6H2O,,EuH12(ClO2)3,,no_mp_match,,,,
Fe3Mo2,3-IRON 2-MOLYBDENUM,697,Fe3Mo2,,Fe3Mo2,,no_mp_match,,,,
Fe0.9470,WUESTITE,699,Fe0.947O,,Fe0.947O1,,no_mp_match,,1541150,F m -3 m,Fe0.9470_COD1541150.cif
Fe(OH)3,IRON TRIHYDROXIDE,705,Fe(OH)3,,Fe(HO)3,,no_mp_match,,,,
Fe0.8778,PYRRHOTITE,717,Fe0.877S,,Fe0.877S1,,no_mp_match,,2104739,C 1 2/c 1,Fe0.8778_COD2104739.cif
FeSe0.96,IRON 0.96-SELENIDE,721,FeSe0.96,,Fe1Se0.96,,no_mp_match,,1010298,P 4/n m m :1,FeSe0.96_COD1010298.cif
FeSi2.33,LEBOITE (ALPHA),723,FeSi2.33,,Fe1Si2.33,,no_mp_match,,,,
FeTe0.9,IRON 0.9-TELLURIDE,724,FeTe0.9,,Fe1Te0.9,,no_mp_match,,4102702,P 4/n m m :2,FeTe0.9_COD4102702.cif
Ga2(SeO4)3,GALLIUM SELENATE,746,Ga2(SeO4)3,,Ga2(SeO4)3,,no_mp_match,,,,
Gdl3,GADOLINIUM IODIDE,756,GdI3,,GdI3,,no_mp_match,,,,
GeU,GERMANIUM URANIUM,778,GeU,,UGe,,no_mp_match,,,,
Ge5U3,5-GERMANIUM 3-URANIUM,780,Ge5U3,,U3Ge5,,no_mp_match,,6000358,P 6/m m m,Ge5U3_COD6000358.cif
HoCl3*6H2O,HOLMIUM CHLORIDE HEXAHYDRATE,841,HoCl3*6H2O,,HoH12(ClO2)3,,no_mp_match,,,,
InAsO4,INDIUM ARSENATE,848,InAsO4,,InAsO4,,no_mp_match,,,,
In5S6,PENTAINDIUM HEXASULFIDE,867,In5S6,,In5S6,,no_mp_match,,2310405,P 1 21/m 1,In5S6_COD2310405.cif
In2Te,DIINDIUM TELLURIDE,871,In2Te,,In2Te,,no_mp_match,,,,
Irl2,IRIDIUM DIIODIDE,877,IrI2,,IrI2,,no_mp_match,,,,
KAI(SO4)2*3H2O,POTASSIUM ALUMIN. SULFATE 3-HYDRATE,884,KAl(SO4)2*3H2O,,KAlH6S2O11,,no_mp_match,,,,
KAI(SO4)2*12H2O,+POTASSIUM ALUMIN. SULFATE 12-HYDR.,885,KAl(SO4)2*12H2O,,KAlH24(SO10)2,,no_mp_match,,1011177,P a -3,KAI_SO4_2_hyd_12H2O_COD1011177.cif
K2B8O13,DIPOTASSIUM OCTABORATE,914,K2B8O13,,K2B8O13,,no_mp_match,,2310622,P b c a,K2B8O13_COD2310622.cif
LiBeF3,LITHIUM TRIFLUOROBERYLLATE,949,LiBeF3,,LiBeF3,,no_mp_match,,,,
Mg(OH)Cl,MAGNESIUM CHLORIDE HYDROXIDE,1017,Mg(OH)Cl,,MgHClO,,no_mp_match,,,,
Mg7Si8O22(OH)2,ANTHOPHYLLITE,1021,Mg7Si8O22(OH)2,,Mg7Si8(HO12)2,,no_mp_match,,1010935,P n m a,Mg7Si8O22_OH_2_COD1010935.cif
Mn3(AsO4)2,MANGANESE ARSENATE,1035,Mn3(AsO4)2,,Mn3(AsO4)2,,no_mp_match,,1560681,P 1 21/n 1,Mn3_AsO4_2_COD1560681.cif
Mn15C4,15-MANGANESE 4-CARBIDE,1039,Mn15C4,,Mn15C4,,no_mp_match,,1559494,F m -3 m,Mn15C4_COD1559494.cif
Mn5N2,PENTAMANGANESE DINITRIDE,1045,Mn5N2,,Mn5N2,,no_mp_match,,1532724,P 63 2 2,Mn5N2_COD1532724.cif
MnP3,MANGANESE TRIPHOSPHIDE,1053,MnP3,,MnP3,,no_mp_match,,,,
MnSi1.7,MANGANESE 1.7-SILICON,1059,MnSi1.7,,Mn1Si1.7,,no_mp_match,,2310427,I -4 2 d,MnSi1.7_COD2310427.cif
MoAsO4,MOLYBDENUM ARSENATE,1066,MoAsO4,,MoAsO4,,no_mp_match,,,,
MoO2Cl2,MOLYBDENUM DICHLORIDE DIOXIDE,1074,MoO2Cl2,,Mo(ClO)2,,no_mp_match,,,,
Na2S3,DISODIUM TRISULFIDE,1146,Na2S3,,Na2S3,,no_mp_match,,,,
NbC0.702,NIOBIUM 0.702-CARBIDE,1161,NbC0.702,,Nb1C0.702,,no_mp_match,,,,
NbC0.825,NIOBIUM 0.825-CARBIDE,1162,NbC0.825,,Nb1C0.825,,no_mp_match,,1536531,C 1 2/m 1,NbC0.825_COD1536531.cif
NbCl2,NIOBIUM DICHLORIDE,1164,NbCl2,,NbCl2,,no_mp_match,,,,
NbCl2.33,NIOBIUM 2.33-CHLORIDE,1165,NbCl2.33,,Nb1Cl2.33,,no_mp_match,,1542039,B b e m,NbCl2.33_COD1542039.cif
NbCI2.67,NIOBIUM 2.67-CHLORIDE,1165,NbCl2.67,,Nb1Cl2.67,,no_mp_match,,,,
NbCI3,NIOBIUM TRICHLORIDE,1166,NbCl3,,NbCl3,,no_mp_match,,,,
NbCI3.13,NIOBIUM 3.13-CHLORIDE,1166,NbCl3.13,,Nb1Cl3.13,,no_mp_match,,,,
NbO2Cl,NIOBIUM CHLORIDE DIOXIDE,1177,NbO2Cl,,NbClO2,,no_mp_match,,,,
NiS0.84,NICKEL 0.84-SULFIDE,1219,NiS0.84,,Ni1S0.84,,no_mp_match,,9007551,B m m b,NiS0.84_COD9007551.cif
NiSe1.05,NICKEL 1.05-SELENIDE,1224,NiSe1.05,,Ni1Se1.05,,no_mp_match,,1523757,P 63/m m c,NiSe1.05_COD1523757.cif
NiSe1.143,NICKEL 1.143-SELENIDE,1224,NiSe1.143,,Ni1Se1.143,,no_mp_match,,,,
NiSe1.25,NICKEL 1.25-SELENIDE,1225,NiSe1.25,,Ni1Se1.25,,no_mp_match,,9009244,C 1 2/m 1,NiSe1.25_COD9009244.cif
Ni7Si13,7-NICKEL 13-SILICON,1227,Ni7Si13,,Si13Ni7,,no_mp_match,,,,
NiTe1.1,NICKEL 1.1-TELLURIDE,1228,NiTe1.1,,Ni1Te1.1,,no_mp_match,,9009903,P 63/m m c,NiTe1.1_COD9009903.cif
NpOCl2,NEPTUNIUM DICHLORIDE OXIDE,1237,NpOCl2,,NpCl2O,,no_mp_match,,,,
NpO3*H2O,NEPTUNIUM TRIOXIDE HYDRATE,1237,NpO3*H2O,,Np(HO2)2,,no_mp_match,,,,
PbB2O4,LEAD DIBORATE,1297,PbB2O4,,B2PbO4,,no_mp_match,,,,
3PbO*PbSO4,TETRALEAD TRIOXIDE SULFATE,1299,3PbO*PbSO4,,Pb4SO7,,no_mp_match,,,,
Pb4SiO6,TETRALEAD SILICATE,1302,Pb4SiO6,,Si(Pb2O3)2,,no_mp_match,,,,
PrO1.833,PRASEODYMIUM 1.833-OXIDE,1326,PrO1.833,,Pr1O1.833,,no_mp_match,,6000563,P 1 21/c 1,PrO1.833_COD6000563.cif
PtBr2,PLATINUM DIBROMIDE,1332,PtBr2,,PtBr2,,no_mp_match,,,,
PtBr4,PLATINUM TETRABROMIDE,1333,PtBr4,,PtBr4,,no_mp_match,,,,
PuC0.88,PLUTONIUM 0.88-CARBIDE,1342,PuC0.88,,Pu1C0.88,,no_mp_match,,,,
PuF6,PLUTONIUM HEXAFLUORIDE,1347,PuF6,,PuF6,,no_mp_match,,,,
Pu(SO4)2,PLUTONIUM DISULFATE,1358,Pu(SO4)2,,Pu(SO4)2,,no_mp_match,,,,
Rb3AsO4,RUBIDIUM ARSENATE,1362,Rb3AsO4,,Rb3AsO4,,no_mp_match,,,,
Rb2Si4O9,RUBIDIUM TETRASILICATE,1377,Rb2Si4O9,,Rb2Si4O9,,no_mp_match,,,,
ReAsO4,RHENIUM ARSENATE,1383,ReAsO4,,ReAsO4,,no_mp_match,,,,
ReBr3,RHENIUM TRIBROMIDE,1383,ReBr3,,ReBr3,,no_mp_match,,,,
Re2S7,DIRHENIUM HEPTASULFIDE,1386,Re2S7,,Re2S7,,no_mp_match,,,,
Si5Th3,5-SILICON 3-THORIUM,1516,Si5Th3,,Th3Si5,,no_mp_match,,,,
Si5U3,5-SILICON 3-URANIUM,1524,Si5U3,,U3Si5,,no_mp_match,,1527320,P 6/m m m,Si5U3_COD1527320.cif
Sn3(AsO4)2,TRITIN ARSENATE,1540,Sn3(AsO4)2,,Sn3(AsO4)2,,no_mp_match,,,,
Sn3S4,TRITIN TETRASULFIDE,1553,Sn3S4,,Sn3S4,,no_mp_match,,7249450,F d -3 m :2,Sn3S4_COD7249450.cif
TaCl2.5,TANTALUM 2.5-CHLORIDE,1596,TaCl2.5,,Ta1Cl2.5,,no_mp_match,,1534240,I a -3 d,TaCl2.5_COD1534240.cif
TaO2Cl,TANTALUM CHLORIDE DIOXIDE,1608,TaO2Cl,,TaClO2,,no_mp_match,,,,
TbO1.72,TERBIUM 1.72-OXIDE,1614,TbO1.72,,Tb1O1.72,,no_mp_match,,1541067,P -1,TbO1.72_COD1541067.cif
TbO1.81,TERBIUM 1.81-OXIDE,1615,TbO1.81,,Tb1O1.81,,no_mp_match,,1541067,P -1,TbO1.81_COD1541067.cif
TcO3,TECHNETIUM TRIOXIDE,1623,TcO3,,TcO3,,no_mp_match,,,,
ThC1.94,THORIUM 1.94-CARBIDE,1644,ThC1.94,,Th1C1.94,,no_mp_match,,,,
ThOBr2,THORIUM DIBROMIDE OXIDE,1659,ThOBr2,,ThBr2O,,no_mp_match,,,,
ThOCl2,THORIUM DICHLORIDE OXIDE,1659,ThOCl2,,ThCl2O,,no_mp_match,,,,
ThOF2,THORIUM DIFLUORIDE OXIDE,1660,ThOF2,,ThOF2,,no_mp_match,,,,
ThOl2,THORIUM DIIODIDE OXIDE,1660,ThOI2,,ThI2O,,no_mp_match,,,,
Ti3(AsO4)2,TRITITANIUM DIARSENATE,1668,Ti3(AsO4)2,,Ti3(AsO4)2,,no_mp_match,,,,
Tl2Se,THALLIUM SELENIDE,1716,Tl2Se,,Tl2Se,,no_mp_match,,,,
UC1.94,URANIUM 1.94-CARBIDE,1732,UC1.94,,U1C1.94,,no_mp_match,,,,
UF4.25,URANIUM 4.25-FLUORIDE,1740,UF4.25,,U1F4.25,,no_mp_match,,1529905,I -4 3 m,UF4.25_COD1529905.cif
UF4.5,URANIUM 4.5-FLUORIDE,1740,UF4.5,,U1F4.5,,no_mp_match,,1529905,I -4 3 m,UF4.5_COD1529905.cif
U4O9,TETRAURANIUM NONAOXIDE,1748,U4O9,,U4O9,,no_mp_match,,1531670,I -4 3 d,U4O9_COD1531670.cif
UOBr2,URANIUM DIBROMIDE OXIDE,1748,UOBr2,,UBr2O,,no_mp_match,,,,
UOBr3,URANIUM TRIBROMIDE OXIDE,1749,UOBr3,,UBr3O,,no_mp_match,,,,
UO2Br2,URANIUM DIBROMIDE DIOXIDE,1749,UO2Br2,,U(BrO)2,,no_mp_match,,,,
UOCl,URANIUM CHLORIDE OXIDE,1750,UOCl,,UClO,,no_mp_match,,,,
UOCl3,URANIUM TRICHLORIDE OXIDE,1751,UOCl3,,UCl3O,,no_mp_match,,,,
UO3*2H2O,URANIUM TRIOXIDE DIHYDRATE,1753,UO3*2H2O,,UH4O5,,no_mp_match,,2102096,P b c n,UO3_hyd_2H2O_COD2102096.cif
VC0.88,VANADIUM 0.88-CARBIDE,1766,VC0.88,,V1C0.88,,no_mp_match,,1540819,P 31,VC0.88_COD1540819.cif
VN0.465,VANADIUM 0.465-NITRIDE,1773,VN0.465,,V1N0.465,,no_mp_match,,,,
WO2.72,TUNGSTEN 2.72-OXIDE,1803,WO2.72,,W1O2.72,,no_mp_match,,1538315,P 1 2/m 1,WO2.72_COD1538315.cif
WO2.90,TUNGSTEN 2.90-OXIDE,1804,WO2.90,,W1O2.9,,no_mp_match,,1538317,P 1 2/m 1,WO2.90_COD1538317.cif
