Formula,Name,Page number,bare_formula,phase_tag,reduced_formula,material_id,match_method,phase_name_verified,spacegroup
C6H6,BENZENE,296,C6H6,,HC,,no_mp_match,,
C6H10,CYCLOHEXENE,297,C6H10,,H5C3,,no_mp_match,,
C6H12,CYCLOHEXANE,298,C6H12,,H2C,,no_mp_match,,
C6H12[M],METHYLCYCLOPENTANE,299,C6H12,M,H2C,,no_mp_match,,
C6H14,HEXANE,300,C6H14,,H7C3,,no_mp_match,,
C7H8,TOLUENE (METHYLBENZENE),301,C7H8,,H8C7,,no_mp_match,,
C7H14,CYCLOHEPTANE,302,C7H14,,H2C,,no_mp_match,,
C7H14[M],METHYLCYCLOHEXANE,303,C7H14,M,H2C,,no_mp_match,,
C7H16,HEPTANE,304,C7H16,,H16C7,,no_mp_match,,
C8H10,"O-XYLENE (1,2-DIMETHYLBENZENE)",305,C8H10,,H5C4,,no_mp_match,,
C8H10[E],ETHYLBENZENE,306,C8H10,E,H5C4,,no_mp_match,,
C8H16,ETHYLCYCLOHEXANE,308,C8H16,,H2C,,no_mp_match,,
C8H18,OCTANE,309,C8H18,,H9C4,,no_mp_match,,
C9H2O,NONANE,310,C9H2O,,H2C9O,,no_mp_match,,
C10H22,DECANE,311,C10H22,,H11C5,,no_mp_match,,
CH2O2,FORMIC ACID,382,CH2O2,,H2CO2,,organic_ambiguous_isomers,,
CH4O,METHANOL,385,CH4O,,H4CO,,no_mp_match,,
C2H4O2,ACETIC ACID,387,C2H4O2,,H2CO,,organic_ambiguous_isomers,,
C2H6O,ETHANOL,388,C2H6O,,H6C2O,,no_mp_match,,
C3H6O,ACETONE,389,C3H6O,,H6C3O,,no_mp_match,,
C6H6O,PHENOL,390,C6H6O,,H6C6O,,no_mp_match,,
CH2S3,CARBONOTRITHIONIC ACID,393,CH2S3,,H2CS3,,organic_ambiguous_isomers,,
CH[g],METHYLIDYNE (GAS),280,CH,g,,,gas_phase_organic,,
CH2[g],METHYLENE (GAS),281,CH2,g,,,gas_phase_organic,,
CH3[g],METHYL (GAS),282,CH3,g,,,gas_phase_organic,,
CH4[g],METHANE (GAS),283,CH4,g,,,gas_phase_organic,,
C2H[g],DICARBON HYDRIDE (GAS),284,C2H,g,,,gas_phase_organic,,
C2H2[g],ACETYLENE (GAS),285,C2H2,g,,,gas_phase_organic,,
C2H3[g],DICARBON TRIHYDRIDE (GAS),286,C2H3,g,,,gas_phase_organic,,
C2H4[g],ETHENE (GAS),287,C2H4,g,,,gas_phase_organic,,
C2H5[g],ETHYL (GAS),288,C2H5,g,,,gas_phase_organic,,
C2H6[g],ETHANE (GAS),289,C2H6,g,,,gas_phase_organic,,
C3H4[g],PROPADIENE (GAS),290,C3H4,g,,,gas_phase_organic,,
C3H4[PY][g],PROPYNE (GAS),290,C3H4,g,,,gas_phase_organic,,
C3H6[g],CYCLOPROPANE (GAS),291,C3H6,g,,,gas_phase_organic,,
C3H6[P][g],PROPENE (GAS),291,C3H6,g,,,gas_phase_organic,,
C3H8[g],PROPANE (GAS),292,C3H8,g,,,gas_phase_organic,,
C4H6[g],BUT-1-YNE (GAS),292,C4H6,g,,,gas_phase_organic,,
C4H8[g],CYCLOBUTANE (GAS),293,C4H8,g,,,gas_phase_organic,,
C4H8[I][g],2-METHYLPROP-1-ENE (GAS),293,C4H8,g,,,gas_phase_organic,,
C4H10[g],BUTANE (GAS),294,C4H10,g,,,gas_phase_organic,,
C5H8[g],CYCLOPENTENE (GAS),294,C5H8,g,,,gas_phase_organic,,
C5H8[P][g],"PENTA-1,2-DIENE (GAS)",295,C5H8,g,,,gas_phase_organic,,
C5H10[g],CYCLOPENTANE (GAS),295,C5H10,g,,,gas_phase_organic,,
C5H12[g],PENTANE (GAS),296,C5H12,g,,,gas_phase_organic,,
C6H6[g],BENZENE (GAS),297,C6H6,g,,,gas_phase_organic,,
C6H10[g],CYCLOHEXENE (GAS),298,C6H10,g,,,gas_phase_organic,,
C6H12[g],CYCLOHEXANE (GAS),299,C6H12,g,,,gas_phase_organic,,
C6H12[M][g],METHYLCYCLOPENTANE (GAS),300,C6H12,g,,,gas_phase_organic,,
C6H14[g],HEXANE (GAS),301,C6H14,g,,,gas_phase_organic,,
C7H8[g],TOLUENE (METHYLBENZENE) (GAS),302,C7H8,g,,,gas_phase_organic,,
C7H14[g],CYCLOHEPTANE (GAS),303,C7H14,g,,,gas_phase_organic,,
C7H14[M][g],METHYLCYCLOHEXANE (GAS),304,C7H14,g,,,gas_phase_organic,,
C7H16[g],HEPTANE (GAS),305,C7H16,g,,,gas_phase_organic,,
C8H10[g],"O-XYLENE (1,2-DIMETHYLBENZENE) (GAS)",306,C8H10,g,,,gas_phase_organic,,
C8H10[E][g],ETHYLBENZENE (GAS),307,C8H10,g,,,gas_phase_organic,,
C8H14[g],OCT-1-YNE (GAS),307,C8H14,g,,,gas_phase_organic,,
C8H16[g],ETHYLCYCLOHEXANE (GAS),308,C8H16,g,,,gas_phase_organic,,
C8H18[g],OCTANE (GAS),309,C8H18,g,,,gas_phase_organic,,
C9H16[g],NON-1-YNE (GAS),310,C9H16,g,,,gas_phase_organic,,
C9H2O[g],NONANE (GAS),311,C9H2O,g,,,gas_phase_organic,,
C10H22[g],DECANE (GAS),312,C10H22,g,,,gas_phase_organic,,
CHBr3[g],TRIBROMOMETHANE (GAS),313,CHBr3,g,,,gas_phase_organic,,
CH2Br2[g],DIBROMOMETHANE (GAS),314,CH2Br2,g,,,gas_phase_organic,,
CH3Br[g],BROMOMETHANE (GAS),315,CH3Br,g,,,gas_phase_organic,,
CHBrI2[g],BROMODIIODOMETHANE (GAS),316,CHBrI2,g,,,gas_phase_organic,,
CHBr2I[g],DIBROMOIODOMETHANE (GAS),317,CHBr2I,g,,,gas_phase_organic,,
CH2BrI[g],BROMOIODOMETHANE (GAS),318,CH2BrI,g,,,gas_phase_organic,,
