Formula,Name,Page number,bare_formula,phase_tag,reduced_formula,material_id,match_method,phase_name_verified,spacegroup,cod_id,cod_sg,cif_file
AgP3,SILVER TRIPHOSPHIDE,13,AgP3,,AgP3,,no_mp_match,,,,,
Au3AsO4,TRIGOLD ARSENATE,94,Au3AsO4,,AsAu3O4,,no_mp_match,,,,,
Au(OH)3,GOLD TRIHYDROXIDE (PRECIPITATED),99,Au(OH)3,,H3AuO3,,no_mp_match,,,,,
Ba3Al2O6,TRIBARIUM DIALUMINIUM HEXAOXIDE,150,Ba3Al2O6,,Ba3Al2O6,,no_mp_match,,,,,
Be3(AsO4)2,BERYLLIUM ARSENATE,165,Be3(AsO4)2,,Be3(AsO4)2,,no_mp_match,,,,,
Be3B2O6,TRIBERYLLIUM DIBORATE,182,Be3B2O6,,Be3(BO3)2,,no_mp_match,,,,,
BeSO4*2H2O,BERYLLIUM SULFATE DIHYDRATE,188,BeSO4*2H2O,,BeH4SO6,,no_mp_match,,,,,
BeWO4,BERYLLIUM TUNGSTATE,189,BeWO4,,BeWO4,,no_mp_match,,,,,
Ca(NO3)2*2H2O,CALCIUM NITRATE DIHYDRATE,438,Ca(NO3)2*2H2O,,CaH4(NO4)2,,no_mp_match,,,,,
Ca(NO3)2*3H2O,CALCIUM NITRATE TRIHYDRATE,439,Ca(NO3)2*3H2O,,CaH6N2O9,,no_mp_match,,,,,
Ca8Al2SiO12,GROSSULAR,448,Ca8Al2SiO12,,Ca8Al2SiO12,,no_mp_match,,,,,
Ca(OCl)Cl,CALCIUM CHLORIDE HYPOCHLORITE,452,Ca(OCl)Cl,,CaCl2O,,no_mp_match,,,,,
CaMgO2,CALCIUM MAGNESIUM DIOXIDE,456,CaMgO2,,CaMgO2,,no_mp_match,,,,,
Ca2SiO4*7/6H2O,CALCIUM ORTHOSILICATE 7/6-HYDRATE,466,Ca2SiO4*7/6H2O,,Ca12Si6H14O31,,no_mp_match,,,,,
