Formula,Name,Page number,bare_formula,phase_tag,reduced_formula,material_id,match_method,phase_name_verified,spacegroup
AgP3,SILVER TRIPHOSPHIDE,13,AgP3,,AgP3,,no_mp_match,,
AlB12,ALUMINIUM DODECABORIDE,21,AlB12,,AlB12,,no_mp_match,,
Al18B4O33,18-ALUMINIUM 4-BORON 33-OXIDE,52,Al18B4O33,,Al18B4O33,,no_mp_match,,
Al6Si2O13,MULLITE,61,Al6Si2O13,,Al6Si2O13,,no_mp_match,,
Am,AMERICIUM,74,Am,,Am,,no_mp_match,,
Au3AsO4,TRIGOLD ARSENATE,94,Au3AsO4,,AsAu3O4,,no_mp_match,,
Au(OH)3,GOLD TRIHYDROXIDE (PRECIPITATED),99,Au(OH)3,,H3AuO3,,no_mp_match,,
Ba3Al2O6,TRIBARIUM DIALUMINIUM HEXAOXIDE,150,Ba3Al2O6,,Ba3Al2O6,,no_mp_match,,
Be3(AsO4)2,BERYLLIUM ARSENATE,165,Be3(AsO4)2,,Be3(AsO4)2,,no_mp_match,,
Be3B2O6,TRIBERYLLIUM DIBORATE,182,Be3B2O6,,Be3(BO3)2,,no_mp_match,,
BeSO4*2H2O,BERYLLIUM SULFATE DIHYDRATE,188,BeSO4*2H2O,,BeH4SO6,,no_mp_match,,
BeWO4,BERYLLIUM TUNGSTATE,189,BeWO4,,BeWO4,,no_mp_match,,
C6H6,BENZENE,296,C6H6,,HC,,no_mp_match,,
C6H10,CYCLOHEXENE,297,C6H10,,H5C3,,no_mp_match,,
C6H12,CYCLOHEXANE,298,C6H12,,H2C,,no_mp_match,,
C6H12[M],METHYLCYCLOPENTANE,299,C6H12,M,H2C,,no_mp_match,,
C6H14,HEXANE,300,C6H14,,H7C3,,no_mp_match,,
C7H8,TOLUENE (METHYLBENZENE),301,C7H8,,H8C7,,no_mp_match,,
C7H14,CYCLOHEPTANE,302,C7H14,,H2C,,no_mp_match,,
C7H14[M],METHYLCYCLOHEXANE,303,C7H14,M,H2C,,no_mp_match,,
C7H16,HEPTANE,304,C7H16,,H16C7,,no_mp_match,,
C8H10,"O-XYLENE (1,2-DIMETHYLBENZENE)",305,C8H10,,H5C4,,no_mp_match,,
C8H10[E],ETHYLBENZENE,306,C8H10,E,H5C4,,no_mp_match,,
C8H16,ETHYLCYCLOHEXANE,308,C8H16,,H2C,,no_mp_match,,
C8H18,OCTANE,309,C8H18,,H9C4,,no_mp_match,,
C9H2O,NONANE,310,C9H2O,,H2C9O,,no_mp_match,,
C10H22,DECANE,311,C10H22,,H11C5,,no_mp_match,,
CH2O2,FORMIC ACID,382,CH2O2,,H2CO2,,organic_ambiguous_isomers,,
CH4O,METHANOL,385,CH4O,,H4CO,,no_mp_match,,
C2H4O2,ACETIC ACID,387,C2H4O2,,H2CO,,organic_ambiguous_isomers,,
C2H6O,ETHANOL,388,C2H6O,,H6C2O,,no_mp_match,,
C3H6O,ACETONE,389,C3H6O,,H6C3O,,no_mp_match,,
C6H6O,PHENOL,390,C6H6O,,H6C6O,,no_mp_match,,
CH2S3,CARBONOTRITHIONIC ACID,393,CH2S3,,H2CS3,,organic_ambiguous_isomers,,
Ca(NO3)2*2H2O,CALCIUM NITRATE DIHYDRATE,438,Ca(NO3)2*2H2O,,CaH4(NO4)2,,no_mp_match,,
Ca(NO3)2*3H2O,CALCIUM NITRATE TRIHYDRATE,439,Ca(NO3)2*3H2O,,CaH6N2O9,,no_mp_match,,
Ca8Al2SiO12,GROSSULAR,448,Ca8Al2SiO12,,Ca8Al2SiO12,,no_mp_match,,
Ca(OCl)Cl,CALCIUM CHLORIDE HYPOCHLORITE,452,Ca(OCl)Cl,,CaCl2O,,no_mp_match,,
CaMgO2,CALCIUM MAGNESIUM DIOXIDE,456,CaMgO2,,CaMgO2,,no_mp_match,,
CaSi2O5*2H2O,CALCIUM 2-SILICATE 2-HYDRATE,465,CaSi2O5*2H2O,,CaSi2H4O7,,no_mp_match,,
Ca2Si3O8*2.5H2O,2-CALCIUM 3-SILICATE 5/2-HYDRATE,466,Ca2Si3O8*2.5H2O,,Ca4Si6H10O21,,no_mp_match,,
Ca2SiO4*7/6H2O,CALCIUM ORTHOSILICATE 7/6-HYDRATE,466,Ca2SiO4*7/6H2O,,Ca12Si6H14O31,,no_mp_match,,
Ca4Si3O10*1.5H2O,4-CALCIUM 3-SILICATE 3/2-HYDRATE,467,Ca4Si3O10*1.5H2O,,Ca8Si6H6O23,,no_mp_match,,
Ca5Si6O17*3H2O,5-CALCIUM 6-SILICATE 3-HYDRATE,468,Ca5Si6O17*3H2O,,Ca5Si6(H3O10)2,,no_mp_match,,
Ca5Si6O17*5.5H2O,5-CALCIUM 6-SILICATE 5.5-HYDRATE,468,Ca5Si6O17*5.5H2O,,Ca10Si12H22O45,,no_mp_match,,
CaSO3,CALCIUM SULFITE,482,CaSO3,,CaSO3,,no_mp_match,,
Cd11U,11-CADMIUM URANIUM,506,Cd11U,,UCd11,,no_mp_match,,
Ce2(SO4)3,CERIUM SULFATE,523,Ce2(SO4)3,,Ce2(SO4)3,,no_mp_match,,
Cr3(AsO4)2,TRICHROMIUM ARSENATE,557,Cr3(AsO4)2,,Cr3(AsO4)2,,no_mp_match,,
CrS1.17,CHROMIUM 1.17-SULFIDE,579,CrS1.17,,Cr6S7,,no_mp_match,,
Cu3AsO4,TRICOPPER ARSENATE,604,Cu3AsO4,,Cu3AsO4,,no_mp_match,,
DyCl3*6H2O,DYSPROSIUM CHLORIDE HEXAHYDRATE,647,DyCl3*6H2O,,DyH12(ClO2)3,,no_mp_match,,
ErCl3*6H2O,ERBIUM CHLORIDE HEXAHYDRATE,656,ErCl3*6H2O,,ErH12(ClO2)3,,no_mp_match,,
EuCl3*6H2O,EUROPIUM CHLORIDE HEXAHYDRATE,665,EuCl3*6H2O,,EuH12(ClO2)3,,no_mp_match,,
Fe3Mo2,3-IRON 2-MOLYBDENUM,697,Fe3Mo2,,Fe3Mo2,,no_mp_match,,
Fe0.947O,WUESTITE,699,Fe0.947O,,Fe18O19,,no_mp_match,,
Fe(OH)3,IRON TRIHYDROXIDE,705,Fe(OH)3,,Fe(HO)3,,no_mp_match,,
FeSe0.96,IRON 0.96-SELENIDE,721,FeSe0.96,,Fe20Se19,,no_mp_match,,
FeSi2.33,LEBOITE (ALPHA),723,FeSi2.33,,Fe3Si7,,no_mp_match,,
FeTe0.9,IRON 0.9-TELLURIDE,724,FeTe0.9,,Fe10Te9,,no_mp_match,,
Ga2(SeO4)3,GALLIUM SELENATE,746,Ga2(SeO4)3,,Ga2(SeO4)3,,no_mp_match,,
GdI3,GADOLINIUM IODIDE,756,GdI3,,GdI3,,no_mp_match,,
GeU,GERMANIUM URANIUM,778,GeU,,UGe,,no_mp_match,,
Ge5U3,5-GERMANIUM 3-URANIUM,780,Ge5U3,,U3Ge5,,no_mp_match,,
HoCl3*6H2O,HOLMIUM CHLORIDE HEXAHYDRATE,841,HoCl3*6H2O,,HoH12(ClO2)3,,no_mp_match,,
InAsO4,INDIUM ARSENATE,848,InAsO4,,InAsO4,,no_mp_match,,
In5S6,PENTAINDIUM HEXASULFIDE,867,In5S6,,In5S6,,no_mp_match,,
In2Te,DIINDIUM TELLURIDE,871,In2Te,,In2Te,,no_mp_match,,
Irl2,IRIDIUM DIIODIDE,877,IrI2,,IrI2,,no_mp_match,,
KAl(SO4)2*3H2O,POTASSIUM ALUMIN. SULFATE 3-HYDRATE,884,KAl(SO4)2*3H2O,,KAlH6S2O11,,no_mp_match,,
KAl(SO4)2*12H2O,POTASSIUM ALUMIN. SULFATE 12-HYDR.,885,KAl(SO4)2*12H2O,,KAlH24(SO10)2,,no_mp_match,,
K2B8O13,DIPOTASSIUM OCTABORATE,914,K2B8O13,,K2B8O13,,no_mp_match,,
LiBeF3,LITHIUM TRIFLUOROBERYLLATE,949,LiBeF3,,LiBeF3,,no_mp_match,,
Mg(OH)Cl,MAGNESIUM CHLORIDE HYDROXIDE,1017,Mg(OH)Cl,,MgHClO,,no_mp_match,,
Mg7Si8O22(OH)2,ANTHOPHYLLITE,1021,Mg7Si8O22(OH)2,,Mg7Si8(HO12)2,,no_mp_match,,
Mn3(AsO4)2,MANGANESE ARSENATE,1035,Mn3(AsO4)2,,Mn3(AsO4)2,,no_mp_match,,
Mn15C4,15-MANGANESE 4-CARBIDE,1039,Mn15C4,,Mn15C4,,no_mp_match,,
Mn5N2,PENTAMANGANESE DINITRIDE,1045,Mn5N2,,Mn5N2,,no_mp_match,,
MnP3,MANGANESE TRIPHOSPHIDE,1053,MnP3,,MnP3,,no_mp_match,,
MnSi1.7,MANGANESE 1.7-SILICON,1059,MnSi1.7,,Mn10Si17,,no_mp_match,,
MoAsO4,MOLYBDENUM ARSENATE,1066,MoAsO4,,MoAsO4,,no_mp_match,,
MoO2Cl2,MOLYBDENUM DICHLORIDE DIOXIDE,1074,MoO2Cl2,,Mo(ClO)2,,no_mp_match,,
Na2S3,DISODIUM TRISULFIDE,1146,Na2S3,,Na2S3,,no_mp_match,,
NbC0.825,NIOBIUM 0.825-CARBIDE,1162,NbC0.825,,Nb17C14,,no_mp_match,,
NbCl2,NIOBIUM DICHLORIDE,1164,NbCl2,,NbCl2,,no_mp_match,,
NbCl3,NIOBIUM TRICHLORIDE,1166,NbCl3,,NbCl3,,no_mp_match,,
NbCl3.13,NIOBIUM 3.13-CHLORIDE,1166,NbCl3.13,,Nb15Cl47,,no_mp_match,,
NbO2Cl,NIOBIUM CHLORIDE DIOXIDE,1177,NbO2Cl,,NbClO2,,no_mp_match,,
NiS0.84,NICKEL 0.84-SULFIDE,1219,NiS0.84,,Ni19S16,,no_mp_match,,
NiSe1.05,NICKEL 1.05-SELENIDE,1224,NiSe1.05,,Ni20Se21,,no_mp_match,,
NiSe1.143,NICKEL 1.143-SELENIDE,1224,NiSe1.143,,Ni7Se8,,no_mp_match,,
NiSe1.25,NICKEL 1.25-SELENIDE,1225,NiSe1.25,,Ni4Se5,,no_mp_match,,
Ni7Si13,7-NICKEL 13-SILICON,1227,Ni7Si13,,Si13Ni7,,no_mp_match,,
NiTe1.1,NICKEL 1.1-TELLURIDE,1228,NiTe1.1,,Ni10Te11,,no_mp_match,,
NpOCl2,NEPTUNIUM DICHLORIDE OXIDE,1237,NpOCl2,,NpCl2O,,no_mp_match,,
NpO3*H2O,NEPTUNIUM TRIOXIDE HYDRATE,1237,NpO3*H2O,,Np(HO2)2,,no_mp_match,,
PbB2O4,LEAD DIBORATE,1297,PbB2O4,,B2PbO4,,no_mp_match,,
3PbO*PbSO4,TETRALEAD TRIOXIDE SULFATE,1299,3PbO*PbSO4,,Pb4SO7,,no_mp_match,,
4PbO*PbS04,PENTALEAD TETRAOXIDE SULFATE,1300,4PbO*PbS04,,Pb5(SO)4,,no_mp_match,,
Pb4SiO6,TETRALEAD SILICATE,1302,Pb4SiO6,,Si(Pb2O3)2,,no_mp_match,,
PtBr2,PLATINUM DIBROMIDE,1332,PtBr2,,PtBr2,,no_mp_match,,
PtBr4,PLATINUM TETRABROMIDE,1333,PtBr4,,PtBr4,,no_mp_match,,
PuC0.88,PLUTONIUM 0.88-CARBIDE,1342,PuC0.88,,Pu17C15,,no_mp_match,,
PuF6,PLUTONIUM HEXAFLUORIDE,1347,PuF6,,PuF6,,no_mp_match,,
Pu(SO4)2,PLUTONIUM DISULFATE,1358,Pu(SO4)2,,Pu(SO4)2,,no_mp_match,,
Rb3AsO4,RUBIDIUM ARSENATE,1362,Rb3AsO4,,Rb3AsO4,,no_mp_match,,
Rb2Si4O9,RUBIDIUM TETRASILICATE,1377,Rb2Si4O9,,Rb2Si4O9,,no_mp_match,,
ReAsO4,RHENIUM ARSENATE,1383,ReAsO4,,ReAsO4,,no_mp_match,,
ReBr3,RHENIUM TRIBROMIDE,1383,ReBr3,,ReBr3,,no_mp_match,,
Re2S7,DIRHENIUM HEPTASULFIDE,1386,Re2S7,,Re2S7,,no_mp_match,,
Si5Th3,5-SILICON 3-THORIUM,1516,Si5Th3,,Th3Si5,,no_mp_match,,
Si5U3,5-SILICON 3-URANIUM,1524,Si5U3,,U3Si5,,no_mp_match,,
Sn3(AsO4)2,TRITIN ARSENATE,1540,Sn3(AsO4)2,,Sn3(AsO4)2,,no_mp_match,,
Sn3S4,TRITIN TETRASULFIDE,1553,Sn3S4,,Sn3S4,,no_mp_match,,
TaO2Cl,TANTALUM CHLORIDE DIOXIDE,1608,TaO2Cl,,TaClO2,,no_mp_match,,
TbO1.72,TERBIUM 1.72-OXIDE,1614,TbO1.72,,Tb18O31,,no_mp_match,,
TbO1.81,TERBIUM 1.81-OXIDE,1615,TbO1.81,,Tb16O29,,no_mp_match,,
TcO3,TECHNETIUM TRIOXIDE,1623,TcO3,,TcO3,,no_mp_match,,
ThC1.94,THORIUM 1.94-CARBIDE,1644,ThC1.94,,Th17C33,,no_mp_match,,
ThOBr2,THORIUM DIBROMIDE OXIDE,1659,ThOBr2,,ThBr2O,,no_mp_match,,
ThOCl2,THORIUM DICHLORIDE OXIDE,1659,ThOCl2,,ThCl2O,,no_mp_match,,
ThOF2,THORIUM DIFLUORIDE OXIDE,1660,ThOF2,,ThOF2,,no_mp_match,,
ThOl2,THORIUM DIIODIDE OXIDE,1660,ThOI2,,ThI2O,,no_mp_match,,
Ti3(AsO4)2,TRITITANIUM DIARSENATE,1668,Ti3(AsO4)2,,Ti3(AsO4)2,,no_mp_match,,
Tl2Se,THALLIUM SELENIDE,1716,Tl2Se,,Tl2Se,,no_mp_match,,
UC1.94,URANIUM 1.94-CARBIDE,1732,UC1.94,,U17C33,,no_mp_match,,
UF4.25,URANIUM 4.25-FLUORIDE,1740,UF4.25,,U4F17,,no_mp_match,,
U4O9,TETRAURANIUM NONAOXIDE,1748,U4O9,,U4O9,,no_mp_match,,
UOBr2,URANIUM DIBROMIDE OXIDE,1748,UOBr2,,UBr2O,,no_mp_match,,
UOBr3,URANIUM TRIBROMIDE OXIDE,1749,UOBr3,,UBr3O,,no_mp_match,,
UO2Br2,URANIUM DIBROMIDE DIOXIDE,1749,UO2Br2,,U(BrO)2,,no_mp_match,,
UOCl,URANIUM CHLORIDE OXIDE,1750,UOCl,,UClO,,no_mp_match,,
UOCl3,URANIUM TRICHLORIDE OXIDE,1751,UOCl3,,UCl3O,,no_mp_match,,
UO3*2H2O,URANIUM TRIOXIDE DIHYDRATE,1753,UO3*2H2O,,UH4O5,,no_mp_match,,
VC0.88,VANADIUM 0.88-CARBIDE,1766,VC0.88,,V17C15,,no_mp_match,,
VN0.465,VANADIUM 0.465-NITRIDE,1773,VN0.465,,V15N7,,no_mp_match,,
WO2.96,TUNGSTEN 2.96-OXIDE,1805,WO2.96,,W20O59,,no_mp_match,,
ZnSO4*2H2O,ZINC SULFATE DIHYDRATE,1846,ZnSO4*2H2O,,ZnH4SO6,,no_mp_match,,
ZnSO4*6H2O,ZINC SULFATE HEXAHYDRATE,1846,ZnSO4*6H2O,,ZnH12SO10,,no_mp_match,,
ZrF2,ZIRCONIUM DIFLUORIDE,1867,ZrF2,,ZrF2,,no_mp_match,,
ZrF3,ZIRCONIUM TRIFLUORIDE,1868,ZrF3,,ZrF3,,no_mp_match,,
Ca5Si6O17*10.5w,5-CALCIUM 6-SILICATE 10.5-HYDRATE,469,Ca5Si6O17*10.5w,,,,unparseable_formula,,
CH[g],METHYLIDYNE (GAS),280,CH,g,,,gas_phase_organic,,
CH2[g],METHYLENE (GAS),281,CH2,g,,,gas_phase_organic,,
CH3[g],METHYL (GAS),282,CH3,g,,,gas_phase_organic,,
CH4[g],METHANE (GAS),283,CH4,g,,,gas_phase_organic,,
C2H[g],DICARBON HYDRIDE (GAS),284,C2H,g,,,gas_phase_organic,,
C2H2[g],ACETYLENE (GAS),285,C2H2,g,,,gas_phase_organic,,
C2H3[g],DICARBON TRIHYDRIDE (GAS),286,C2H3,g,,,gas_phase_organic,,
C2H4[g],ETHENE (GAS),287,C2H4,g,,,gas_phase_organic,,
C2H5[g],ETHYL (GAS),288,C2H5,g,,,gas_phase_organic,,
C2H6[g],ETHANE (GAS),289,C2H6,g,,,gas_phase_organic,,
C3H4[g],PROPADIENE (GAS),290,C3H4,g,,,gas_phase_organic,,
C3H4[PY][g],PROPYNE (GAS),290,C3H4,g,,,gas_phase_organic,,
C3H6[g],CYCLOPROPANE (GAS),291,C3H6,g,,,gas_phase_organic,,
C3H6[P][g],PROPENE (GAS),291,C3H6,g,,,gas_phase_organic,,
C3H8[g],PROPANE (GAS),292,C3H8,g,,,gas_phase_organic,,
C4H6[g],BUT-1-YNE (GAS),292,C4H6,g,,,gas_phase_organic,,
C4H8[g],CYCLOBUTANE (GAS),293,C4H8,g,,,gas_phase_organic,,
C4H8[I][g],2-METHYLPROP-1-ENE (GAS),293,C4H8,g,,,gas_phase_organic,,
C4H10[g],BUTANE (GAS),294,C4H10,g,,,gas_phase_organic,,
C5H8[g],CYCLOPENTENE (GAS),294,C5H8,g,,,gas_phase_organic,,
C5H8[P][g],"PENTA-1,2-DIENE (GAS)",295,C5H8,g,,,gas_phase_organic,,
C5H10[g],CYCLOPENTANE (GAS),295,C5H10,g,,,gas_phase_organic,,
C5H12[g],PENTANE (GAS),296,C5H12,g,,,gas_phase_organic,,
C6H6[g],BENZENE (GAS),297,C6H6,g,,,gas_phase_organic,,
C6H10[g],CYCLOHEXENE (GAS),298,C6H10,g,,,gas_phase_organic,,
C6H12[g],CYCLOHEXANE (GAS),299,C6H12,g,,,gas_phase_organic,,
C6H12[M][g],METHYLCYCLOPENTANE (GAS),300,C6H12,g,,,gas_phase_organic,,
C6H14[g],HEXANE (GAS),301,C6H14,g,,,gas_phase_organic,,
