Formula,Name,Page number
Ag,SILVER,1
Ag[g],SILVER (GAS),2
Ag3AsO4,SILVER ARSENATE,3
AgBr,SILVER BROMIDE,3
AgBr[g],SILVER BROMIDE (GAS),4
AgBrO3,SILVER BROMATE,4
AgCN,SILVER CYANIDE,5
Ag2CO3,SILVER CARBONATE,5
AgCl,SILVER CHLORIDE,6
AgCl[g],SILVER CHLORIDE (GAS),7
AgClO3,SILVER CHLORATE,7
Ag2CrO4,SILVER CHROMATE,8
AgF,SILVER FLUORIDE,8
AgF[g],SILVER FLUORIDE (GAS),9
AgI,SILVER IODIDE,10
AgI[g],SILVER IODIDE (GAS),11
AgNO3,SILVER NITRATE,11
Ag2O,SILVER OXIDE,12
AgP2,SILVER DIPHOSPHIDE,12
AgP3,SILVER TRIPHOSPHIDE,13
Ag2S,SILVER SULFIDE,13
Ag2SO4,SILVER SULFATE,14
Ag2Se,SILVER SELENIDE,15
Ag2Te,SILVER TELLURIDE,16
Ag2WO4,SILVER TUNGSTATE,16
Al,ALUMINIUM,17
Al[g],ALUMINIUM (GAS),18
AlAs,ALUMINIUM ARSENIDE,19
AlAsO4,ALUMINIUM ARSENATE,19
AlB2,ALUMINIUM DIBORIDE,20
AlB12,ALUMINIUM DODECABORIDE,21
AlBr[g],ALUMINIUM MONOBROMIDE (GAS),22
AlBr3,ALUMINIUM BROMIDE,23
AlBr3[g],ALUMINIUM BROMIDE (GAS),24
Al2Br6[g],DIALUMINIUM HEXABROMIDE (GAS),25
Al4C3,TETRAALUMINIUM TRICARBIDE,26
Al2Ca,2-ALUMINIUM CALCIUM,27
Al4Ca,4-ALUMINIUM CALCIUM,27
Al2Ce,2-ALUMINIUM CERIUM,28
Al4Ce,4-ALUMINIUM CERIUM,28
AlCl[g],ALUMINIUM MONOCHLORIDE (GAS),29
AlCl2[g],ALUMINIUM DICHLORIDE (GAS),30
AlCl3,ALUMINIUM CHLORIDE,30
AlCl3[g],ALUMINIUM CHLORIDE (GAS),31
Al2Cl6[g],DIALUMINIUM HEXACHLORIDE (GAS),32
AlCl3*6H2O,ALUMINIUM CHLORIDE HEXAHYDRATE,32
AlCo,ALUMINIUM COBALT,33
Al5Co2,5-ALUMINIUM 2-COBALT,33
AlF[g],ALUMINIUM MONOFLUORIDE (GAS),34
AlF2[g],ALUMINIUM DIFLUORIDE (GAS),35
AlF3,ALUMINIUM FLUORIDE,36
AlF3[g],ALUMINIUM FLUORIDE (GAS),37
Al2F6[g],DIALUMINIUM HEXAFLUORIDE (GAS),38
AlH3,ALUMINIUM HYDRIDE (HEXAGONAL),38
All3,ALUMINIUM IODIDE,39
AlI3[g],ALUMINIUM IODIDE (GAS),39
Al2I6[g],DIALUMINIUM HEXAIODIDE (GAS),40
Al2La,2-ALUMINIUM LANTHANUM,41
AlLi,ALUMINIUM LITHIUM,41
AlN,ALUMINIUM NITRIDE,42
AlNi,ALUMINIUM NICKEL,42
AlNi3,ALUMINIUM 3-NICKEL,43
Al3Ni,3-ALUMINIUM NICKEL,43
Al3Ni2,3-ALUMINIUM 2-NICKEL,44
AlO[g],ALUMINIUM MONOXIDE (GAS),44
AlO2[g],ALUMINIUM DIOXIDE (GAS),45
Al2O[g],DIALUMINIUM OXIDE (GAS),46
Al2O2[g],DIALUMINIUM DIOXIDE (GAS),47
Al2O3,"ALUMINIUM OXIDE (ALPHA,CORUNDUM)",48
Al2O3[C],ALUMINIUM OXIDE (GAMMA),49
Al2O3[D],ALUMINUIM OXIDE (DELTA),50
Al2O3[K],ALUMINIUM OXIDE (KAPPA),51
Al4B2O9,4-ALUMINIUM 2-BORON 9-OXIDE,52
Al18B4O33,18-ALUMINIUM 4-BORON 33-OXIDE,52
AlOCl,ALUMINIUM CHLORIDE OXIDE,53
AlOCl[g],ALUMINIUM CHLORIDE OXIDE (GAS),53
AlOF[g],ALUMINIUM FLUORIDE OXIDE (GAS),54
AlOF2[g],ALUMINIUM DIFLUORIDE OXIDE (GAS),55
Al(OH)3,ALUMINIUM HYDROXIDE (AMORPHOUS),55
Al2O3*H2O,DIASPORE,56
Al2O3*H2O[B],BOEHMITE,56
Al2O3*3H2O,GIBBSITE,57
Al4Mg2Si5O18,CORDIERITE,57
Al2SiO5,ALUMINIUM SILICATE (KYANITE),58
Al2SiO5[A],ALUMINIUM SILICATE (ANDALUSITE),59
Al2SiO5[S],ALUMINIUM SILICATE (SILLIMANITE),60
Al6Si2O13,MULLITE,61
Al2Si2O7*2H2O,KAOLINITE,61
Al2Si2O7*2H2O[D],DICKITE,62
Al2Si2O7*2H2O[H],HALLOYSITE,62
Al2TiO5,DIALUMINIUM TITANIUM PENTAOXIDE,63
AlP,ALUMINIUM PHOSPHIDE,64
AlPO4,ALUMINIUM PHOSPHATE,65
AlS[g],ALUMINIUM MONOSULFIDE (GAS),66
Al2S3,ALUMINIUM SULFIDE,67
Al2(SO4)3,ALUMINIUM SULFATE,67
AlSb,ALUMINIUM ANTIMONY,68
Al2Se2[g],DIALUMINIUM DISELENIDE (GAS),69
Al2Se3,ALUMINIUM SELENIDE,69
AlTe[g],ALUMINIUM MONOTELLURIDE (GAS),70
Al2Te3,ALUMINIUM TELLURIDE,70
Al3Th,3-ALUMINIUM THORIUM,71
AlTi,ALUMINIUM TITANIUM,71
Al3Ti,3-ALUMINIUM TITANIUM,72
Al2U,2-ALUMINIUM URANIUM,72
Al3U,3-ALUMINIUM URANIUM,73
Al4U,4-ALUMINIUM URANIUM,73
Am,AMERICIUM,74
Am[g],AMERICIUM (GAS),75
Ar[g],ARGON (GAS),76
As,ARSENIC,77
As[g],ARSENIC (GAS),77
As2[g],ARSENIC (GAS),78
As3[g],ARSENIC (GAS),78
As4[g],ARSENIC (GAS),79
AsBr3[g],ARSENIC BROMIDE (GAS),79
AsCl3,ARSENIC CHLORIDE,80
AsCl3[g],ARSENIC CHLORIDE (GAS),80
AsF3,ARSENIC FLUORIDE,81
AsF3[g],ARSENIC FLUORIDE (GAS),81
AsF5[g],ARSENIC PENTAFLUORIDE (GAS),82
AsH3[g],ARSENIC HYDRIDE,83
AsI3,ARSENIC IODIDE,83
AsI3[g],ARSENIC IODIDE (GAS),84
AsO[g],ARSENIC MONOXIDE (GAS),84
As2O3,ARSENIC OXIDE (CLAUDETITE),85
As2O3[A],ARSENIC OXIDE (ARSENOLITE),85
As2O5,DIARSENIC PENTAOXIDE,86
As4O6[g],TETRAARSENIC HEXAOXIDE (GAS),86
AsS[g],ARSENIC MONOSULFIDE (GAS),87
As2S2,DIARSENIC DISULFIDE,87
As2S3,ARSENIC SULFIDE,88
As4S4,TETRAARSENIC TETRASULFIDE,88
As4S4[g],TETRAARSENIC TETRASULFIDE (GAS),89
As4S4[R],TETRAARSENIC TETRASULFIDE (REALGAR),89
AsSe[g],ARSENIC MONOSELENIDE (GAS),90
As2Se3,ARSENIC SELENIDE,90
AsTe[g],ARSENIC MONOTELLURIDE (GAS),91
As2Te3,ARSENIC TELLURIDE,91
Au,GOLD,92
Au[g],GOLD (GAS),93
Au3AsO4,TRIGOLD ARSENATE,94
AuBr,GOLD MONOBROMIDE,94
AuCd,GOLD CADMIUM,95
AuCl,GOLD MONOCHLORIDE,95
AuCl3,GOLD TRICHLORIDE,96
AuCu,GOLD COPPER,96
AuCu3,GOLD 3-COPPER,97
AuF3,GOLD TRIFLUORIDE,97
AuI,GOLD MONOIODIDE,98
Au2O3,DIGOLD TRIOXIDE,98
Au(OH)3,GOLD TRIHYDROXIDE (PRECIPITATED),99
Au2P3,DIGOLD TRIPHOSPHIDE,99
AuS[g],GOLD MONOSULFIDE (GAS),100
