Formula,Name,Page number
Volume,Ag SILVER,1
Al2I6{g},DIALUMINIUM HEXAIODIDE (GAS),40
Agig],SILVER (GAS),2
Al2La,2-ALUMINIUM LANTHANUM,41
Ag3As04,SILVER ARSENATE,3
AlLi,ALUMINIUM LITHIUM,4
AgBr,SILVER BROMIDE,3
AIN,ALUMINIUM NITRIDE,42
AgBr(g],SILVER BROMIDE (GAS),4
AINi,ALUMINIUM NICKEL,42
AgBrO3,SILVER BROMATE,4
AINi3,ALUMINIUM 3-NICKEL,43
AgCN,SILVER CYANIDE,5
AISNi,3-ALUMINIUM NICKEL,43
Ag2C03,SILVER CARBONATE,5
AISNi2,3-ALUMINIUM 2-NICKEL,44
AgCl,SILVER CHLORIDE,6
AlO{g],ALUMINIUM MONOXIDE (GAS),44
AgClig],SILVER CHLORIDE (GAS},7
AlO2{g],ALUMINIUM DIOXIDE (GAS),45
AgClO3,SILVER CHLORATE,7
Al20{g],DIALUMINIUM OXIDE (GAS),46
Ag2Cr04,SILVER CHROMATE,8
Al202Ig],DIALUMINIUM DIOXIDE (GAS),47
AgF,SILVER FLUORIDE,8
Al203,"ALUMINIUM OXIDE (ALPHA,CORUNDUM)",48
AgF{g],SILVER FLUORIDE (GAS),9
Al203{C],ALUMINIUM OXIDE (GAMMA),49
Agl,SILVER IODIDE,10
Al203)D],ALUMINUIM OXIDE (DELTA),50
Agl{g],SILVER IODIDE (GAS),11
Al203[K],ALUMINIUM OXIDE (KAPPA),51
AgNO3,SILVER NITRATE,11
Al4B209,4-ALUMINIUM 2-BORON 9-OXIDE,52
Ag20,SILVER OXIDE,12
Al18B4033,18-ALUMINIUM 4-BORON 33-OXIDE,52
AgP2,SILVER DIPHOSPHIDE,12
AIOCI,ALUMINIUM CHLORIDE OXIDE,53
AgP3,SILVER TRIPHOSPHIDE,13
AlOCI[g],ALUMINIUM CHLORIDE OXIDE (GAS),53
Ag2S,SILVER SULFIDE,13
AIOF{g],ALUMINIUM FLUORIDE OXIDE (GAS),54
Ag2S04,SILVER SULFATE,14
AlOF2[g},ALUMINIUM DIFLUORIDE OXIDE (GAS),55
Ag2Se,SILVER SELENIDE,15
AI(OH)3,ALUMINIUM HYDROXIDE (AMORPHOUS),55
Ag2Te,SILVER TELLURIDE,16
Al203*H20,DIASPORE,56
Ag2W04,SILVER TUNGSTATE,16
Al203*H20]B],BOEHMITE,56
Al,ALUMINIUM,17
Al203*3H20,GIBBSITE,57
Allg],ALUMINIUM (GAS),18
Al4Mg2Si5018,CORDIERITE,57
AlAs,ALUMINIUM ARSENIDE,19
Al2Si05,ALUMINIUM SILICATE (KYANITE),58
AlAsO4,ALUMINIUM ARSENATE,19
Al2SiO5[A],ALUMINIUM SILICATE (ANDALUSITE),59
AIB2,ALUMINIUM DIBORIDE,20
Al2SiO5[S],ALUMINIUM SILICATE (SILLIMANITE),60
AIB12,ALUMINIUM DODECABORIDE,21
Al6Si2013,MULLITE,61
AIBr{g],ALUMINIUM MONOBROMIDE (GAS),22
Al2Si207*2H20,~~ KAOLINITE,61
AIBr3,ALUMINIUM BROMIDE,23
Al2Si207*2H20[D],DICKITE,62
AIBr3{g],ALUMINIUM BROMIDE (GAS),24
Al2Si207*2H20[H],HALLOYSITE,62
Al2Bré{g],DIALUMINIUM HEXABROMIDE (GAS),25
Al2TIO5,DIALUMINIUM TITANIUM PENTAOXIDE,63
Al4C3,TETRAALUMINIUM TRICARBIDE,26
AIP,ALUMINIUM PHOSPHIDE,64
Al2Ca,2-ALUMINIUM CALCIUM,27
AIPO4,ALUMINIUM PHOSPHATE,65
Al4Ca,4-ALUMINIUM CALCIUM,27
AlS{g],ALUMINIUM MONOSULFIDE (GAS),66
Al2Ce,2-ALUMINIUM CERIUM,28
